as a consequence of being mostly privately owned , the town is very opulently designed .	as a consequence of being mostly privately owned , the town are very opulently designed .
the primary goals of stroke management are to reduce brain injury and promote maximum patient recovery .	the primary goals of stroke management is to reduce brain injury and promote maximum patient recovery .
the arguments for and against the existence of god are many , and many studied so well in logic and critical thinking as to be categorized , etc .	the arguments for and against the existence of god is many , and many studied so well in logic and critical thinking as to be categorized , etc .
however not every molecule with polar bonds is a polar molecule .	however not every molecule with polar bonds are a polar molecule .
the le quesnel memorial site is a small keyhole shaped park situated beside the d934 highway between amiens and roye on the southwest fringe of le quesnel village .	the le quesnel memorial site are a small keyhole shaped park situated beside the d934 highway between amiens and roye on the southwest fringe of le quesnel village .
stunted individuals of pond cypress are notable in the dwarf cypress savanna of the everglades national park .	stunted individuals of pond cypress is notable in the dwarf cypress savanna of the everglades national park .
religious views concerning the need for one to work to support society and further god 's plan and work also suggest that , through inactivity , one invites the desire to sin .	religious views concerning the need for one to work to support society and further god 's plan and work also suggests that , through inactivity , one invites the desire to sin .
the people as well as the other automobiles in the background are distracting , and the completely blown tents and sky are major detractors from the picture .	the people as well as the other automobiles in the background are distracting , and the completely blown tents and sky is major detractors from the picture .
other examples of hydrogen peroxide 's action as a reducing agent are reaction with sodium hypochlorite or potassium permanganate , which is a convenient method for preparing oxygen in the laboratory .	other examples of hydrogen peroxide 's action as a reducing agent is reaction with sodium hypochlorite or potassium permanganate , which is a convenient method for preparing oxygen in the laboratory .
the fruit is a small capsule containing many seeds .	the fruit are a small capsule containing many seeds .
many towns that can not support a single franchise restaurant still have a thriving chinese food restaurant .	many towns that can not support a single franchise restaurant still has a thriving chinese food restaurant .
the historical period of these events remains obscure .	the historical period of these events remain obscure .
drug companies and the health industry have far more political clout in the united states than criminals and gangs .	drug companies and the health industry has far more political clout in the united states than criminals and gangs .
this is how the cycles of evolution and dissolution follow each other .	this is how the cycles of evolution and dissolution follows each other .
the pipes for this added organ are located at the back of the chapel , while the original four sets ( great , choir , swell and pedal ) are at the front .	the pipes for this added organ are located at the back of the chapel , while the original four sets ( great , choir , swell and pedal ) is at the front .
the level locations of the game in order are uranus , saturn , jupiter , and the final level , earth .	the level locations of the game in order is uranus , saturn , jupiter , and the final level , earth .
proper attention to minor tasks prevents emergencies .	proper attention to minor tasks prevent emergencies .
other sites of interest in the park are opeh guling waterfall , buaya sangkut waterfall and salt licks around gunung tiong .	other sites of interest in the park is opeh guling waterfall , buaya sangkut waterfall and salt licks around gunung tiong .
the list of ministers at park street church makes it look like it is a notable position .	the list of ministers at park street church make it look like it is a notable position .
however , low computer penetration rates and inconsistent government policy remain major impediments to internet growth .	however , low computer penetration rates and inconsistent government policy remains major impediments to internet growth .
with its breathtaking landscape and its unique arch through the building , the matrade building is an architecturally-acclaimed icon in kuala lumpur which can be seen from miles away .	with its breathtaking landscape and its unique arch through the building , the matrade building are an architecturally-acclaimed icon in kuala lumpur which can be seen from miles away .
the `` maturita '' results of the applicant are usually also taken into account when evaluating whether he can become student of the school .	the `` maturita '' results of the applicant is usually also taken into account when evaluating whether he can become student of the school .
common forms of preventive medication for sheep are vaccinations and treatments for parasites .	common forms of preventive medication for sheep is vaccinations and treatments for parasites .
the electrodes at the front and the back of the crystal usually are key-hole shaped , thereby making the resonator thicker in the center than at the rim .	the electrodes at the front and the back of the crystal usually is key-hole shaped , thereby making the resonator thicker in the center than at the rim .
anthony boucher reviewed fancies and goodnights favorably for the new york times , saying `` the very best short stories of murder of this or almost any other year appear as a minority in a volume chiefly devoted to superlative supernatural fantasy .	anthony boucher reviewed fancies and goodnights favorably for the new york times , saying `` the very best short stories of murder of this or almost any other year appears as a minority in a volume chiefly devoted to superlative supernatural fantasy .
questions like that are your chance to post diffs that show how good you are .	questions like that is your chance to post diffs that show how good you are .
when they slept on the island for the first night , she dreamed that three snakes lay in her lap , and she thought they were sliding off her lap .	when they slept on the island for the first night , she dreamed that three snakes lays in her lap , and she thought they were sliding off her lap .
in an early scene , the members of an impoverished farming family solemnly take turns dipping their ladles into the single bowl of watery soup that is their only meal of the day .	in an early scene , the members of an impoverished farming family solemnly takes turns dipping their ladles into the single bowl of watery soup that is their only meal of the day .
the film opens with a flashback showing the family feud between families of sundarlinzgaprabakar ( vijayakanth ) and bhavani ( indraja ) .	the film open with a flashback showing the family feud between families of sundarlinzgaprabakar ( vijayakanth ) and bhavani ( indraja ) .
to ensure that the values with zero tangent slope are indeed a maximum ( instead of a saddle-point or a minimum ) one has to also satisfy the condition that the curvature is negative .	to ensure that the values with zero tangent slope is indeed a maximum ( instead of a saddle-point or a minimum ) one has to also satisfy the condition that the curvature is negative .
frontman adam duritz has stated in concert that the song is about `` people mistaking you for a dependable guy '' .	frontman adam duritz has stated in concert that the song are about `` people mistaking you for a dependable guy '' .
the most common pet species of hedgehog are hybrids of the white-bellied hedgehog or four-toed hedgehog ( atelerix albiventris ) and the north african hedgehog ( a .	the most common pet species of hedgehog is hybrids of the white-bellied hedgehog or four-toed hedgehog ( atelerix albiventris ) and the north african hedgehog ( a .
the merits of the article subject , such as being an academic , peer-reviewed journal , are irrelevant in light of that policy .	the merits of the article subject , such as being an academic , peer-reviewed journal , is irrelevant in light of that policy .
fried , the authors of pay without performance , critique of executive pay , argue that executive capture of corporate governance is so complete that only public relations , i .	fried , the authors of pay without performance , critique of executive pay , argues that executive capture of corporate governance is so complete that only public relations , i .
these novels are by the scots author walter scott .	these novels is by the scots author walter scott .
the new testament 's description of people who had evil spirits includes a capacity for hidden knowledge ( e .	the new testament 's description of people who had evil spirits include a capacity for hidden knowledge ( e .
the most common types of content template include infoboxes and navboxes .	the most common types of content template includes infoboxes and navboxes .
the main claims to notability are now in there and substantiated by reliable sources .	the main claims to notability is now in there and substantiated by reliable sources .
meanwhile , ajay meets and befriends a crippled boy named shakti ( rattan kumar ) whose character is the opposite of ajay .	meanwhile , ajay meets and befriends a crippled boy named shakti ( rattan kumar ) whose character are the opposite of ajay .
the catalog , which contains more than 8 million references , allows students and researcher to search for bibliographical and location information in over 3 , 400 documentation centers .	the catalog , which contains more than 8 million references , allow students and researcher to search for bibliographical and location information in over 3 , 400 documentation centers .
the objective of these standards documents is to establish a foundation of performance and behavior that all digital sign systems can follow .	the objective of these standards documents are to establish a foundation of performance and behavior that all digital sign systems can follow .
similar international editions of the magazine exist in sweden , finland , the united kingdom , the republic of ireland , germany , france , italy , spain , belgium , portugal and australia .	similar international editions of the magazine exists in sweden , finland , the united kingdom , the republic of ireland , germany , france , italy , spain , belgium , portugal and australia .
first off , the title is horrible .	first off , the title are horrible .
her diverse practice draws on the legacies of constructivism and minimalism and often involves a critical , open dialogue with modernist architecture and contemporary visual and material culture .	her diverse practice draws on the legacies of constructivism and minimalism and often involve a critical , open dialogue with modernist architecture and contemporary visual and material culture .
the garden is open tuesday through sunday , from may 7 to october 20 ; an admission fee is charged .	the garden are open tuesday through sunday , from may 7 to october 20 ; an admission fee is charged .
as is the case with many members of the family ranunculaceae , all parts of the plant are poisonous and can be irritant .	as is the case with many members of the family ranunculaceae , all parts of the plant is poisonous and can be irritant .
rearward-swept wings yield a higher maximum lift coefficient , reduced bending moments , and delayed stall when compared to more traditional wing shapes .	rearward-swept wings yields a higher maximum lift coefficient , reduced bending moments , and delayed stall when compared to more traditional wing shapes .
blp requires tight sourcing of all claims and respect of privacy , but it at no point requires that public , agreed-upon information from reputable sources has to be removed because it is unflattering to the subject .	blp requires tight sourcing of all claims and respect of privacy , but it at no point requires that public , agreed-upon information from reputable sources have to be removed because it is unflattering to the subject .
human capital explanations for occupational segregation , then , posit that a difference in educational levels of men and women is responsible for persistent occupational segregation .	human capital explanations for occupational segregation , then , posit that a difference in educational levels of men and women are responsible for persistent occupational segregation .
in 2010 the director of the central court is judge alberto delgado neto .	in 2010 the director of the central court are judge alberto delgado neto .
the cannon group 's library of films is now part of mgm .	the cannon group 's library of films are now part of mgm .
the idea of stories being told in episodes has origins in serialized literature , and in aristotle 's poetics as `` pataka '' .	the idea of stories being told in episodes have origins in serialized literature , and in aristotle 's poetics as `` pataka '' .
this lack of good faith is disheartening , but the content of his accusations is even worse .	this lack of good faith is disheartening , but the content of his accusations are even worse .
the real reason for these bans and blocks is to censor the articles in question from my additions of well sourced , relevant content that is critical of the subjects .	the real reason for these bans and blocks are to censor the articles in question from my additions of well sourced , relevant content that is critical of the subjects .
the advantages of a passive commodity index exposure include negative correlation with other asset classes such as equities and bonds , as well as protection against inflation .	the advantages of a passive commodity index exposure includes negative correlation with other asset classes such as equities and bonds , as well as protection against inflation .
also , private law suits that do not go to the very mission of an organization are not , in my opinion , relevant or encyclopedic .	also , private law suits that do not go to the very mission of an organization is not , in my opinion , relevant or encyclopedic .
eighteen large bronze stars circling the pedestal below this statue represent the eighteen union states with buried dead .	eighteen large bronze stars circling the pedestal below this statue represents the eighteen union states with buried dead .
advantages of this approach include the ability to spatially or temporally control reaction and the ability to incorporate both alkenes and tetrazoles into biomolecules using simple biological methods such as genetic encoding .	advantages of this approach includes the ability to spatially or temporally control reaction and the ability to incorporate both alkenes and tetrazoles into biomolecules using simple biological methods such as genetic encoding .
the values of the amplitude response table slightly differ from those resulting from the circuit diagram , e .	the values of the amplitude response table slightly differs from those resulting from the circuit diagram , e .
the whole point of their being guidelines and not policies is that exceptions can be made in some special cases .	the whole point of their being guidelines and not policies are that exceptions can be made in some special cases .
ernie says '' all about ernestine ; draw a computer cookie with prairie and cookie monster ; play duckie games on the computer ; move and groove ; do the birdcall .	ernie says '' all about ernestine ; draw a computer cookie with prairie and cookie monster ; play duckie games on the computer ; move and groove ; does the birdcall .
although the parcels remain under the ownership of separate agencies , they are managed cooperatively , with biological resource management , which includes prescribed fire and habitat restoration programs managed by the nature conservancy , and visitor management .	although the parcels remains under the ownership of separate agencies , they are managed cooperatively , with biological resource management , which includes prescribed fire and habitat restoration programs managed by the nature conservancy , and visitor management .
although windows in the outfield fence offer a view into and from the bullpen , its entrance is actually built into the side of the crawford boxes .	although windows in the outfield fence offers a view into and from the bullpen , its entrance is actually built into the side of the crawford boxes .
members of this protein family contain a cyclin box motif and have structural similarity to the cyclins .	members of this protein family contains a cyclin box motif and have structural similarity to the cyclins .
the materials of the building are stone , gypsum and brick .	the materials of the building is stone , gypsum and brick .
some examples of coal mine subsidence damage include cracked foundations , sinkholes , and groundwater loss .	some examples of coal mine subsidence damage includes cracked foundations , sinkholes , and groundwater loss .
emily pronin and matthew kugler have argued that this phenomenon is due to the introspection illusion .	emily pronin and matthew kugler have argued that this phenomenon are due to the introspection illusion .
the featured species in this section of the zoo are siberian tigers , snow leopards , przewalski 's wild horses , red pandas , barbary apes , and bactrian camels .	the featured species in this section of the zoo is siberian tigers , snow leopards , przewalski 's wild horses , red pandas , barbary apes , and bactrian camels .
common modes of road transport within the city are cars , motorcycles , buses , and auto-rickshaws ; antique pedal rickshaws can still be seen .	common modes of road transport within the city is cars , motorcycles , buses , and auto-rickshaws ; antique pedal rickshaws can still be seen .
the tall , tapering pipes located in the west transept to the left of the altar are reed pipes as are the trumpet pipes extending out from the rear wall at the back of the church .	the tall , tapering pipes located in the west transept to the left of the altar is reed pipes as are the trumpet pipes extending out from the rear wall at the back of the church .
the ruins of the monastery complex remain mostly as a national monument administered by the instituto nacional de antropología e historia .	the ruins of the monastery complex remains mostly as a national monument administered by the instituto nacional de antropología e historia .
sensory fibers from the skin of the external ear initially travel with the auricular branch of cn x , while those from the middle ear travel in the tympanic nerve as discussed above ( cn ix visceral motor section ) .	sensory fibers from the skin of the external ear initially travels with the auricular branch of cn x , while those from the middle ear travel in the tympanic nerve as discussed above ( cn ix visceral motor section ) .
similarly , households with more than one telephone line have a greater chance of being selected in a random digit dialing sample , and weights can adjust for this .	similarly , households with more than one telephone line has a greater chance of being selected in a random digit dialing sample , and weights can adjust for this .
the painting is one of vermeer 's most famous .	the painting are one of vermeer 's most famous .
if placement of buildings and roads is not carefully planned it may lead to traffic congestion .	if placement of buildings and roads are not carefully planned it may lead to traffic congestion .
the main section of the woods has a network of public footpaths to facilitate access .	the main section of the woods have a network of public footpaths to facilitate access .
with recent legislation , however , capital gains taxes on such a transaction are no longer completely avoided .	with recent legislation , however , capital gains taxes on such a transaction is no longer completely avoided .
the cowper stoves of blast furnace 5 are rust-free due to a zinc layer added during construction .	the cowper stoves of blast furnace 5 is rust-free due to a zinc layer added during construction .
users in this category indicate they have skill level 1 for language chechen .	users in this category indicates they have skill level 1 for language chechen .
an epidemiological study describes the association between given behaviors or environmental conditions , and physical or psychological health by means of observation of real-world phenomena through statistical data .	an epidemiological study describe the association between given behaviors or environmental conditions , and physical or psychological health by means of observation of real-world phenomena through statistical data .
records from the colonial period are often incomplete and the county courthouse burned in 1831 so early documents were lost .	records from the colonial period is often incomplete and the county courthouse burned in 1831 so early documents were lost .
the habitual use of tools by chimpanzees makes the uniqueness of the human asmg an open question as its function may have evolved prior to the split from our last common ancestor .	the habitual use of tools by chimpanzees make the uniqueness of the human asmg an open question as its function may have evolved prior to the split from our last common ancestor .
language shift `` occurs when speakers in a community give up speaking their language and take up the use of another in its place '' .	language shift `` occurs when speakers in a community gives up speaking their language and take up the use of another in its place '' .
more comments by the member include `` our blend of heavy metal , with burke 's darkness , creates an atmosphere of a large scale apocalypse .	more comments by the member includes `` our blend of heavy metal , with burke 's darkness , creates an atmosphere of a large scale apocalypse .
transmission of such pathogens occurs predominantly via oral administration when in contact or in the vicinity of diseased organisms via the release of infectious spores .	transmission of such pathogens occur predominantly via oral administration when in contact or in the vicinity of diseased organisms via the release of infectious spores .
theories of classical conditioning , instrumental conditioning and social learning are mainly responsible for formation of attitude .	theories of classical conditioning , instrumental conditioning and social learning is mainly responsible for formation of attitude .
tags like the tag or the tag indicate articles that have to be cleaned up , regardless of the difficulty of doing so .	tags like the tag or the tag indicates articles that have to be cleaned up , regardless of the difficulty of doing so .
apple 's core foundation framework contains a cfbinaryheap structure , which implements a min-heap .	apple 's core foundation framework contain a cfbinaryheap structure , which implements a min-heap .
the elements most important for induced radioactivity for sea water are sodium-24 , chlorine , magnesium , and bromine .	the elements most important for induced radioactivity for sea water is sodium-24 , chlorine , magnesium , and bromine .
our job as editors is to best represent that pov using the framework of our policies and guidelines .	our job as editors are to best represent that pov using the framework of our policies and guidelines .
in sheep , the allele for horns in both sexes is partially dominant to that for being polled in both sexes , and both these are dominant to that for polling in the female only .	in sheep , the allele for horns in both sexes are partially dominant to that for being polled in both sexes , and both these are dominant to that for polling in the female only .
two key aspects of business process modeling are a formal framework that integrates both control flow and data , and a set of tools to assist all aspects of a business process life cycle .	two key aspects of business process modeling is a formal framework that integrates both control flow and data , and a set of tools to assist all aspects of a business process life cycle .
the neurological basis and mechanisms for phantom limb pain are all derived from experimental theories and observations .	the neurological basis and mechanisms for phantom limb pain is all derived from experimental theories and observations .
the afd shows that the article is worth keeping .	the afd shows that the article are worth keeping .
its goal is to preserve and spread miller knowledge and skills to ensure the availability of enough millers who can responsibly operate all functional windmills in frisia .	its goal are to preserve and spread miller knowledge and skills to ensure the availability of enough millers who can responsibly operate all functional windmills in frisia .
all species in this genus are endemic to hawaii .	all species in this genus is endemic to hawaii .
elements of the plot and setting of marathon are similar to the jesus incident by frank herbert and bill ransom .	elements of the plot and setting of marathon is similar to the jesus incident by frank herbert and bill ransom .
i do n't think the headings within the radiation therapy section add anything to the article- they break up the text and the toc unnecessarily .	i do n't think the headings within the radiation therapy section adds anything to the article- they break up the text and the toc unnecessarily .
models have shown that intermediate levels of resistance and tolerance are evolutionary stable as long as the benefits of having both traits are more than additive ( nunez-farfan et al .	models have shown that intermediate levels of resistance and tolerance is evolutionary stable as long as the benefits of having both traits are more than additive ( nunez-farfan et al .
the flag of the united states is sometimes symbolically burned , often in protest of the policies of the american government , both within the country and abroad .	the flag of the united states are sometimes symbolically burned , often in protest of the policies of the american government , both within the country and abroad .
it is nicknamed `` the street '' because of its planted trees , old-fashioned street lights , and the fact that the classroom windows on either side make it seem as though one is walking between two buildings .	it is nicknamed `` the street '' because of its planted trees , old-fashioned street lights , and the fact that the classroom windows on either side makes it seem as though one is walking between two buildings .
information ranging back hundreds of years is not always worthwhile , because the numbers of people for which data are available may not provide the information that is important ( such as population size ) .	information ranging back hundreds of years are not always worthwhile , because the numbers of people for which data are available may not provide the information that is important ( such as population size ) .
this state of affairs bears many of the hallmarks of the polywater fiasco , where trace contamination by human sweat was ultimately found to be the culprit .	this state of affairs bear many of the hallmarks of the polywater fiasco , where trace contamination by human sweat was ultimately found to be the culprit .
for instances , loads of 12 gauge , 00 buck are commonly available in 8 to 18 pellets in lengths from 2 .	for instances , loads of 12 gauge , 00 buck is commonly available in 8 to 18 pellets in lengths from 2 .
most places of accommodation are in the form of private villas , of which there are some 400 available to rent on the island .	most places of accommodation is in the form of private villas , of which there are some 400 available to rent on the island .
all parts of the plant except the ripe fruit contain the toxic glycoalkaloid solanine .	all parts of the plant except the ripe fruit contains the toxic glycoalkaloid solanine .
the most complete edition , which contains seven hundred and fifty proverbs , is that published at wittenberg in 1592 .	the most complete edition , which contains seven hundred and fifty proverbs , are that published at wittenberg in 1592 .
a few examples of a bloc party system also exist in non-communist regimes .	a few examples of a bloc party system also exists in non-communist regimes .
the major advantage of hydroelectric systems is the elimination of the cost of fuel .	the major advantage of hydroelectric systems are the elimination of the cost of fuel .
commenting on the book 's redeeming social value , reston added that `` it would be to show that a pattern of atrocities exists in vietnam , proving that while my lai was larger , it was not unique .	commenting on the book 's redeeming social value , reston added that `` it would be to show that a pattern of atrocities exist in vietnam , proving that while my lai was larger , it was not unique .
the former salt lake city show was more genteel and included frequent religious references whereas the rochester show is more raucous and occasionally risqué .	the former salt lake city show was more genteel and included frequent religious references whereas the rochester show are more raucous and occasionally risqué .
almost all commercial buildings of whatever floor area or height have flat roofs , and it is a rare one ( though it does happen ) that collapses under a snow load or leaks .	almost all commercial buildings of whatever floor area or height has flat roofs , and it is a rare one ( though it does happen ) that collapses under a snow load or leaks .
any two disjoint spheres in three dimensional space , with different radii , have two bitangent double cones , the apexes of which are called the centers of similitude .	any two disjoint spheres in three dimensional space , with different radii , has two bitangent double cones , the apexes of which are called the centers of similitude .
the college teaches diploma courses in mechanical engineering , civil engineering , electrical engineering , electronics engineering and computer science .	the college teach diploma courses in mechanical engineering , civil engineering , electrical engineering , electronics engineering and computer science .
the piece of music the band plays at the beginning of the funeral march is `` just a closer walk with thee '' .	the piece of music the band play at the beginning of the funeral march is `` just a closer walk with thee '' .
impacts from agriculture and industrialization in the country threaten this biodiversity .	impacts from agriculture and industrialization in the country threatens this biodiversity .
critics of the suppression of gay identity often conclude that , as homosexuality is normalized in broader culture , it will be in video games as well .	critics of the suppression of gay identity often concludes that , as homosexuality is normalized in broader culture , it will be in video games as well .
the secondary sources in the article appear to show borderline notability of the start now campaign , but not of meek himself .	the secondary sources in the article appears to show borderline notability of the start now campaign , but not of meek himself .
this relationship is similar to that reported for the secretion of other extracellular matrix proteins .	this relationship are similar to that reported for the secretion of other extracellular matrix proteins .
gladys the swiss dairy cow , we can be relied on by readers to cover the more important subjects , and the producer of these movies is simply an important subject .	gladys the swiss dairy cow , we can be relied on by readers to cover the more important subjects , and the producer of these movies are simply an important subject .
a narrative which includes supernatural phenomena such as angels and demons is problematic as a historical source .	a narrative which includes supernatural phenomena such as angels and demons are problematic as a historical source .
once in , the only way out is to be shot down , or to destroy the entire `` wave '' of aliens .	once in , the only way out are to be shot down , or to destroy the entire `` wave '' of aliens .
cost-saving features of any simplified sewerage system are a smaller diameter of pipes , smaller and shallower trenches and simplified manholes .	cost-saving features of any simplified sewerage system is a smaller diameter of pipes , smaller and shallower trenches and simplified manholes .
hockey players that opt to commit an infraction despite the punishment do so in order to degrade the opposing team 's morale or momentum , or boost their own .	hockey players that opt to commit an infraction despite the punishment does so in order to degrade the opposing team 's morale or momentum , or boost their own .
species of waterfowl breeding in the lake area include pied-billed grebe ( podilymbus podiceps ) , egret ( bubulcus ibis ) , waterhen ( gallinula galeata ) , american coot ( fulica americana ) and northern jacana ( jacana spinosa ) .	species of waterfowl breeding in the lake area includes pied-billed grebe ( podilymbus podiceps ) , egret ( bubulcus ibis ) , waterhen ( gallinula galeata ) , american coot ( fulica americana ) and northern jacana ( jacana spinosa ) .
the technology that changed this and put the routes and approaches where they were needed , at low altitudes over the fjords , is the wide area augmentation system ( waas ) .	the technology that changed this and put the routes and approaches where they were needed , at low altitudes over the fjords , are the wide area augmentation system ( waas ) .
facilities at the school include a suite of teaching and research laboratories dedicated to soil , water and pollen research .	facilities at the school includes a suite of teaching and research laboratories dedicated to soil , water and pollen research .
the islands in the southern portion of the county are part of the north maumee bay archeological district of the detroit river international wildlife refuge , in which turtle island is the only island in the state of michigan that is shared by another state .	the islands in the southern portion of the county is part of the north maumee bay archeological district of the detroit river international wildlife refuge , in which turtle island is the only island in the state of michigan that is shared by another state .
the test '' ( a musician is given records to comment on without knowing what they are ) , cd reviews , `` fast taste '' ( shorter reviews ) and `` yesterdays '' ( a prominent musician writes about a major turning point in their career ) .	the test '' ( a musician is given records to comment on without knowing what they are ) , cd reviews , `` fast taste '' ( shorter reviews ) and `` yesterdays '' ( a prominent musician write about a major turning point in their career ) .
his comments on my personal talk page are rude and arrogant and self-righteous .	his comments on my personal talk page is rude and arrogant and self-righteous .
waters , the involvement level of parents in ethnic organizations or activities heavily influences the development of their children 's ethnic identities .	waters , the involvement level of parents in ethnic organizations or activities heavily influence the development of their children 's ethnic identities .
thus , the two substrates of this enzyme are atp and viomycin , whereas its two products are adp and o-phosphoviomycin .	thus , the two substrates of this enzyme is atp and viomycin , whereas its two products are adp and o-phosphoviomycin .
the nae has stated that `` homosexual activity , like adulterous relationships , is clearly condemned in the scriptures .	the nae has stated that `` homosexual activity , like adulterous relationships , are clearly condemned in the scriptures .
recreational facilities at the hotel include a spa called chakra by thai sabai , a gymnasium , an outdoor swimming pool and a discothèque .	recreational facilities at the hotel includes a spa called chakra by thai sabai , a gymnasium , an outdoor swimming pool and a discothèque .
the formula posted is in error , or the belief in a discontinuity is in error .	the formula posted are in error , or the belief in a discontinuity is in error .
other parts of the system of photosynthesis still allow green plants to use the green light spectrum ( e .	other parts of the system of photosynthesis still allows green plants to use the green light spectrum ( e .
institutions of higher education are inherently notable .	institutions of higher education is inherently notable .
guests that appear on the album include elvis costello and rufus wainwright .	guests that appear on the album includes elvis costello and rufus wainwright .
this system defines device independent color schemes which can be converted into device dependent rgb systems .	this system define device independent color schemes which can be converted into device dependent rgb systems .
the placement of the initials is unusual because lines are rarely broken to start a new paragraph .	the placement of the initials are unusual because lines are rarely broken to start a new paragraph .
the origin of the roses and castles found on canal boats is unclear .	the origin of the roses and castles found on canal boats are unclear .
the floating rocks in the video are made from foam and covered in plaster , fossilized barnacles and various textiles , the rock 's tongues and the sand are computer animated ; for this reason , the post-production lasted two months .	the floating rocks in the video are made from foam and covered in plaster , fossilized barnacles and various textiles , the rock 's tongues and the sand is computer animated ; for this reason , the post-production lasted two months .
a few small channels on the landward side formed by runoff meet the largest channel as well .	a few small channels on the landward side formed by runoff meets the largest channel as well .
the homicide rate in the united states of america is higher than that of other developed countries , while rates of robbery , assault , and property crime are comparable .	the homicide rate in the united states of america is higher than that of other developed countries , while rates of robbery , assault , and property crime is comparable .
the hottest cards in the town view category are real photo postcards ( rppcs ) , postcards printed on actual photographic paper using the photographic process rather than printed cards created on a printing press .	the hottest cards in the town view category is real photo postcards ( rppcs ) , postcards printed on actual photographic paper using the photographic process rather than printed cards created on a printing press .
the way to deal with weak articles is to improve them , not delete them .	the way to deal with weak articles are to improve them , not delete them .
beyond laws that aim at prevention of fraud , there are also governmental and non-governmental organizations that aim to fight fraud .	beyond laws that aim at prevention of fraud , there is also governmental and non-governmental organizations that aim to fight fraud .
the church consists of a four-bay nave with a north aisle , a south porch and a three-bay chancel .	the church consist of a four-bay nave with a north aisle , a south porch and a three-bay chancel .
your collaboration by sending us comments or suggestions is essential to improve the livre !	your collaboration by sending us comments or suggestions are essential to improve the livre !
there are no subspecies , although individuals born towards the east of the breeding range tend to be slightly paler than their western counterparts .	there are no subspecies , although individuals born towards the east of the breeding range tends to be slightly paler than their western counterparts .
issues of current interest are radioactive air and sea discharges , resultant environmental contamination , and the health detriment to local communities and wildlife .	issues of current interest is radioactive air and sea discharges , resultant environmental contamination , and the health detriment to local communities and wildlife .
b-movie actresses generally fit under entertainer .	b-movie actresses generally fits under entertainer .
gotland ( ; , the island 's main sources of income are tourism , agriculture , and concrete production from locally mined limestone .	gotland ( ; , the island 's main sources of income is tourism , agriculture , and concrete production from locally mined limestone .
seasonal water column conditions ( particularly summer versus winter ) are inherently more variable in shallow water than in deep water .	seasonal water column conditions ( particularly summer versus winter ) is inherently more variable in shallow water than in deep water .
different stages of plant growth require different spectra .	different stages of plant growth requires different spectra .
other types of index arbitrage include basis trading , the arbitrage between a current index value ( synthetically replicated ) and that of its future .	other types of index arbitrage includes basis trading , the arbitrage between a current index value ( synthetically replicated ) and that of its future .
hence the spaces far from the front of star formation appear darker .	hence the spaces far from the front of star formation appears darker .
the song plays live on a never-ending audio stream on a special web site set up by the band and was made available for purchase as a hard drive encased in an actual human skull , limited to 13 copies .	the song play live on a never-ending audio stream on a special web site set up by the band and was made available for purchase as a hard drive encased in an actual human skull , limited to 13 copies .
i know where the best place to inquire for details is .	i know where the best place to inquire for details are .
wetland road crossings and beaver damming are the primary causes of flooding .	wetland road crossings and beaver damming is the primary causes of flooding .
endorse deletion , then , since this is a single trivial reference rather than multiple non-trivial references .	endorse deletion , then , since this are a single trivial reference rather than multiple non-trivial references .
several soldiers look or point towards the pisan position to the left .	several soldiers looks or point towards the pisan position to the left .
the windows at the east end are also original .	the windows at the east end is also original .
in fact , in the sense that all hypercomplex numbers are isomorphic to n-dimensional vectors with some extra structure on them , one can define any type of number at all , but only a few of them permit a structure that is both consistent and interesting to study .	in fact , in the sense that all hypercomplex numbers is isomorphic to n-dimensional vectors with some extra structure on them , one can define any type of number at all , but only a few of them permit a structure that is both consistent and interesting to study .
many psoe councillors , including the one that ran for mayor in the last election , are in prison , while none of the pp councillors are known to be involved in the corruption .	many psoe councillors , including the one that ran for mayor in the last election , is in prison , while none of the pp councillors are known to be involved in the corruption .
your list is phony and made to attack michael moore which is your agenda on so many articles .	your list are phony and made to attack michael moore which is your agenda on so many articles .
typical woods used for the body and neck of a guitar today are mahogany , ash , maple , basswood , agathis , alder , poplar , walnut , and spruce .	typical woods used for the body and neck of a guitar today is mahogany , ash , maple , basswood , agathis , alder , poplar , walnut , and spruce .
said robert walden of his experience working on showtime , `` there are fewer cooks in the kitchen , and the writers have more freedom .	said robert walden of his experience working on showtime , `` there are fewer cooks in the kitchen , and the writers has more freedom .
the only thing that matters is that it does .	the only thing that matters are that it does .
many people in this program have undergraduate degrees in non-art related fields , others are changing careers , and many are recent art school graduates looking to further their education .	many people in this program has undergraduate degrees in non-art related fields , others are changing careers , and many are recent art school graduates looking to further their education .
the effects that resulted from the creation of the railroad industry are enormous .	the effects that resulted from the creation of the railroad industry is enormous .
legacy sources cause a new problem in their own .	legacy sources causes a new problem in their own .
